Time rh SM Tmean e SPI FLASH 
19800101  77.3164 198.1200  -9.3176  -0.0000  -0.4532   0.0000
19800102  78.3805 197.9700 -10.5230  -0.0000   0.3691   0.0000
19800103  73.4428 198.7300 -13.9740  -0.0000   0.5976   0.0000
19800104  69.6903 198.2600 -19.9400  -0.0000   0.2581   0.0000
19800105  61.4382 198.1000 -15.2260  -0.0000   0.6184   0.0000
19800106  60.1039 197.7500 -16.3260  -0.0000   0.2260   0.0000
19800107  53.0605 196.8800 -17.2050  -0.0000   1.3510   0.0000
19800108  64.6358 196.4700 -10.8110  -0.0000   0.6163   0.0000
19800109  68.7487 195.0000  -9.6236  -0.0000  -0.3309   0.0000
19800110  72.2625 193.5900 -12.1680  -0.0000  -0.8567   0.0000
19800111  73.9322 193.3200 -15.8160  -0.0000   0.5491   0.0000
19800112  63.0470 194.6900 -14.4440  -0.0000   0.2688   0.0000
19800113  59.4291 194.5600 -14.0680  -0.0000   0.2436   0.0000
19800114  60.2184 194.4700 -13.8660  -0.0000   0.3738   0.0000
19800115  69.7782 194.3000 -10.9560  -0.0000   0.5357   0.0000
19800116  76.9194 193.5600  -9.1144  -0.0000  -0.9964   0.0000
19800117  72.7624 193.0500 -11.0060  -0.0000  -0.4369   0.0000
19800118  76.5984 192.9700  -9.2669  -0.0000   0.3855   0.0000
19800119  75.8276 193.3100 -11.0450   0.0000  -1.1197   0.0000
19800120  76.0516 195.3500 -10.1640  -0.0000   0.4415   0.0000
19800121  73.5902 195.9700 -10.4680   0.0000  -0.1907   0.0000
19800122  72.3853 197.3800 -12.2400  -0.0000   0.8302   0.0000
19800123  68.4562 198.4600 -11.3400  -0.0000   0.0371   0.0000
19800124  78.0072 198.3400  -6.1621  -0.0000   2.0140   0.0000
19800125  80.6733 197.9200  -5.6343   0.0000  -1.6538   0.0000
19800126  72.1755 199.4500  -6.2927   0.0000  -2.3644   0.0000
19800127  72.3045 198.9400  -8.2462   0.0000   0.5913   0.0000
19800128  68.7076 198.4800 -11.1130   0.0000   1.3867   0.0000
19800129  58.1230 198.9000 -13.2360  -0.0000   1.7643   0.0000
19800130  44.3393 198.4900 -14.8150   0.0000   0.1580   0.0000
19800131  36.6878 198.2100 -11.9360  -0.0000   1.3510   0.0000
19800201  52.1870 198.0400  -9.9733  -0.0000   1.3510   0.0000
19800202  74.9713 198.1600  -8.8086  -0.0000   1.7874   0.0000
19800203  65.5034 199.5000  -9.3496  -0.0000  -0.7082   0.0000
19800204  67.6367 200.1700  -9.2442  -0.0000   0.2176   0.0000
19800205  69.2222 199.1800 -12.9400   0.0000  -0.7440   0.0000
19800206  66.0774 199.1600 -15.2660   0.0000   0.4914   0.0000
19800207  63.6092 199.8300 -15.7230   0.0000   0.3334   0.0000
19800208  73.1760 200.4400 -11.7490  -0.0000   0.2569   0.0000
19800209  69.0729 198.5900 -12.2260  -0.0000   0.6646   0.0000
19800210  46.9775 197.2000 -12.9220  -0.0000   2.2429   0.0000
19800211  40.7933 196.8600 -14.0480  -0.0000   0.4577   0.0000
19800212  50.4370 196.6600 -10.2890  -0.0000   1.3510   0.0000
19800213  80.6686 196.8300  -6.0385  -0.0000   2.4432   0.0000
19800214  81.1220 196.6400  -5.2505   0.0000  -2.2722   0.0000
19800215  69.4144 196.9000  -6.0835  -0.0000  -1.1502   0.0000
19800216  62.3070 196.5100  -8.9901  -0.0000   0.4293   0.0000
19800217  70.7268 196.4000  -7.5829  -0.0000   0.3898   0.0000
19800218  72.5876 197.2100  -7.8704   0.0000   0.5340   0.0000
19800219  79.2664 197.1900  -6.4201  -0.0000   0.9986   0.0000
19800220  79.0558 196.6400  -4.3314  -0.0000  -0.7591   0.0000
19800221  81.0761 196.1000  -4.0253  -0.0000  -0.9285   0.0000
19800222  72.8234 196.1800  -3.4897   0.0000  -0.6867   0.0000
19800223  71.7295 196.4900  -5.0330   0.0000   0.0337   0.0000
19800224  74.4954 196.5300  -8.7409   0.0000   2.1876   0.0000
19800225  70.8930 194.4500 -10.2940  -0.0000   2.3222   0.0000
19800226  72.4624 192.8200  -5.9106  -0.0000   0.1317   0.0000
19800227  81.8590 192.6100  -5.3268  -0.0000  -0.3925   0.0000
19800228  65.2099 192.9600  -6.7770   0.0000  -3.0314   0.0000
19800229  74.3284 193.3600  -8.5289  -0.0000   0.8911   0.0000
19800301  70.1905 188.5800  -6.8432  -0.0000   0.9986   0.0000
19800302  77.4653 185.3600  -7.0756   0.0000  -0.0471   0.0000
19800303  79.3504 184.9500  -6.0807  -0.0000   0.8874   0.0000
19800304  79.3385 185.0200  -4.7267  -0.0000   0.3386   0.0000
19800305  83.7917 184.8900  -4.7114  -0.0000  -0.1871   0.0000
19800306  78.9627 184.4500  -5.3861  -0.0000  -3.7577   0.0000
19800307  75.0184 184.9400 -10.9010  -0.0000   0.8927   0.0000
19800308  67.8421 184.4300  -9.6397  -0.0000   0.6444   0.0000
19800309  72.1111 184.7100  -7.2490  -0.0000   1.1264   0.0000
19800310  72.0756 185.0600  -6.8772  -0.0000   0.9649   0.0000
19800311  68.6172 185.1300  -6.2577  -0.0000  -0.2337   0.0000
19800312  68.3785 186.9900  -7.7895  -0.0000  -0.8817   0.0000
19800313  72.1992 187.0400  -8.1524  -0.0000   2.2531   0.0000
19800314  72.6265 185.3400  -5.5324  -0.0000   2.5321   0.0000
19800315  72.6945 184.8500  -3.3633  -0.0000  -0.1595   0.0000
19800316  68.3193 183.6600  -5.0619  -0.0000  -0.9410   0.0000
19800317  70.6672 183.5000  -4.2994  -0.0000   0.3974   0.0000
19800318  84.6940 183.9300  -4.4194  -0.0000  -0.4281   0.0000
19800319  80.8425 188.4800  -6.5697  -0.0000  -0.4619   0.0000
19800320  69.5033 190.8600  -3.4447  -0.0000   0.1879   0.0000
19800321  85.8907 190.7500  -1.8264  -0.0000   1.3437   0.0000
19800322  74.6032 190.6100  -2.3171  -0.0000  -1.2917   0.0000
19800323  81.3915 190.6300  -2.5300  -0.0000   0.0544   0.0000
19800324  77.8193 190.6900  -1.3510  -0.0000  -1.1784   0.0000
19800325  79.1719 190.9700  -4.4220  -0.0000  -1.4979   0.0000
19800326  63.7825 191.2700  -6.2489  -0.0000   2.4687   0.0000
19800327  62.1108 191.4400  -6.8586  -0.0000   0.8294   0.0000
19800328  79.8036 192.0500  -3.4294  -0.0000   0.5716   0.0000
19800329  81.8115 193.3600  -2.5968  -0.0000  -1.6073   0.0000
19800330  65.9796 194.9900  -4.7798  -0.0000   2.3833   0.0000
19800331  50.7420 196.2900  -3.7266  -0.0000   0.4895   0.0000
19800401  45.9513 197.4700  -2.0807  -0.0000   1.3510   0.0000
19800402  82.0158 198.2700  -4.6342  -0.0000   0.6679   0.0000
19800403  60.4352 199.8100  -4.9170  -0.0000  -1.1711   0.0000
19800404  42.9623 200.8500  -3.8800  -0.0000   2.3302   0.0000
19800405  45.3929 201.6200  -1.7400  -0.0000   1.3510   0.0000
19800406  76.0354 203.7000  -0.6815  -0.0000   1.7197   0.0000
19800407  81.2758 205.1700  -2.7125  -0.0000   0.5775   0.0000
19800408  75.6200 205.3900  -4.6200  -0.0000   0.1386   0.0000
19800409  62.8526 205.6100  -4.8756  -0.0000   0.6364   0.0000
19800410  49.4155 206.5200  -1.3281  -0.0000   0.8489   0.0000
19800411  58.6375 207.0100  -0.1451  -0.0000   1.3510   0.0000
19800412  61.1531 207.1100  -2.1749  -0.0000   1.3510   0.0000
19800413  61.7101 207.3200  -2.2301  -0.0000   0.6790   0.0000
19800414  63.9210 206.9000  -1.4500  -0.0000   0.8791   0.0000
19800415  59.8983 206.0400  -1.0498  -0.0000   0.8791   0.0000
19800416  52.2248 204.8200   0.4993  -0.0000   0.8489   0.0000
19800417  50.3820 203.4700   3.1856  -0.0000   1.3510   0.0000
