Time rh SM Tmean e SPI FLASH 
19800101  64.9859 138.1900 -16.6970  -0.0000  -0.0171   0.0000
19800102  70.6405 138.6900 -17.6170  -0.0000   0.1214   0.0000
19800103  66.7812 139.5100 -22.5450   0.0000   0.4286   0.0000
19800104  67.4376 139.3200 -27.4930   0.0000   0.3254   0.0000
19800105  63.3115 139.3400 -22.9370   0.0000   0.5633   0.0000
19800106  59.4262 140.1500 -23.8730   0.0000   0.0200   0.0000
19800107  52.6520 140.0900 -23.1600   0.0000   0.9178   0.0000
19800108  68.3353 139.4800 -17.7930   0.0000   0.4141   0.0000
19800109  77.3875 138.6900 -15.4830   0.0000  -0.6181   0.0000
19800110  77.6149 138.9400 -18.5730  -0.0000  -0.6994   0.0000
19800111  63.4986 137.9300 -23.4870   0.0000   0.0367   0.0000
19800112  62.9100 137.8300 -20.9090   0.0000   0.5595   0.0000
19800113  65.2227 137.7000 -22.0530   0.0000   0.0817   0.0000
19800114  65.9911 137.3800 -22.9320   0.0000   0.1190   0.0000
19800115  70.0344 137.2000 -18.1170  -0.0000   0.3730   0.0000
19800116  79.3646 136.6500 -17.7040  -0.0000  -1.3408   0.0000
19800117  70.9180 136.6800 -16.9710  -0.0000  -0.8985   0.0000
19800118  75.5838 137.0800 -14.3690  -0.0000   0.4067   0.0000
19800119  77.9640 137.1500 -19.2410   0.0000  -1.5198   0.0000
19800120  74.6384 137.7900 -16.6540  -0.0000   0.8679   0.0000
19800121  79.7680 137.3000 -15.9120   0.0000  -0.7181   0.0000
19800122  75.7816 135.8000 -17.9610  -0.0000   0.5955   0.0000
19800123  69.7189 136.7000 -17.3960  -0.0000   1.9229   0.0000
19800124  76.9423 135.9600 -12.0620  -0.0000   0.5148   0.0000
19800125  88.3923 135.0800 -11.0430   0.0000  -1.8174   0.0000
19800126  74.4369 135.2000 -11.8760  -0.0000  -2.2899   0.0000
19800127  82.6161 135.0700 -14.4370   0.0000  -0.6920   0.0000
19800128  73.4996 135.1900 -16.7950  -0.0000  -0.1704   0.0000
19800129  56.6623 134.7000 -22.2520   0.0000   0.2608   0.0000
19800130  43.4213 134.7000 -20.1410   0.0000   0.8233   0.0000
19800131  41.9064 134.5900 -16.8380   0.0000   0.9793   0.0000
19800201  66.9669 134.3500 -16.3070  -0.0000   0.4242   0.0000
19800202  68.7010 134.2100 -14.8290  -0.0000  -0.0114   0.0000
19800203  65.7457 135.8400 -15.5450  -0.0000  -1.2474   0.0000
19800204  71.0201 136.6700 -15.7440  -0.0000  -1.1144   0.0000
19800205  74.1775 136.5100 -19.7210   0.0000  -2.2936   0.0000
19800206  74.6442 137.0700 -20.8530  -0.0000   1.9205   0.0000
19800207  70.1513 136.7100 -22.5690   0.0000   0.0123   0.0000
19800208  78.6553 136.1700 -18.1090  -0.0000   0.0360   0.0000
19800209  71.0199 135.9300 -20.5280   0.0000   0.0367   0.0000
19800210  58.0279 136.2800 -23.2310  -0.0000   0.1333   0.0000
19800211  55.5218 136.2200 -21.4590   0.0000   0.9178   0.0000
19800212  58.5880 136.1900 -16.7900  -0.0000   1.5120   0.0000
19800213  78.5983 136.4300 -11.8270   0.0000   0.8270   0.0000
19800214  76.1921 136.6300 -11.1900  -0.0000  -2.1664   0.0000
19800215  80.4097 136.6200 -11.2340  -0.0000  -2.0599   0.0000
19800216  79.1401 135.8700 -16.4400  -0.0000  -0.7285   0.0000
19800217  72.7619 135.1200 -12.9540  -0.0000   0.1986   0.0000
19800218  70.0511 135.5400 -14.6910  -0.0000  -0.0689   0.0000
19800219  71.8158 135.9200 -12.5740  -0.0000   1.7486   0.0000
19800220  83.3833 137.8500 -10.4440  -0.0000  -1.1209   0.0000
19800221  81.3980 137.6500  -9.6906  -0.0000  -1.4467   0.0000
19800222  66.8232 137.0100  -8.8571  -0.0000  -1.0687   0.0000
19800223  64.9690 138.2100 -11.0860  -0.0000  -0.3985   0.0000
19800224  73.1128 139.0800 -15.7420  -0.0000  -0.4753   0.0000
19800225  69.7221 139.2700 -19.5210  -0.0000   2.2399   0.0000
19800226  74.0072 139.7000 -11.7120  -0.0000   0.2885   0.0000
19800227  81.4033 140.1000 -10.7950  -0.0000  -1.3364   0.0000
19800228  80.6840 140.4900 -13.4310  -0.0000  -2.9668   0.0000
19800229  69.1432 140.5800 -14.3530  -0.0000  -0.5874   0.0000
19800301  76.9089 140.1500 -13.7490  -0.0000  -0.3969   0.0000
19800302  71.5574 140.2300 -15.4980  -0.0000   0.2867   0.0000
19800303  74.8954 139.9100 -13.5300  -0.0000   1.6105   0.0000
19800304  70.2338 139.5500 -10.3710  -0.0000   0.0710   0.0000
19800305  75.6242 139.6000  -9.6368  -0.0000  -0.9061   0.0000
19800306  77.2877 141.7100 -11.7660  -0.0000  -3.8898   0.0000
19800307  69.0320 143.0800 -17.4690  -0.0000  -2.5084   0.0000
19800308  68.1474 142.7800 -16.3250  -0.0000   0.6719   0.0000
19800309  81.2870 142.6300 -13.4590  -0.0000  -0.2929   0.0000
19800310  79.5842 142.9900 -12.8220  -0.0000  -0.1994   0.0000
19800311  75.0988 145.4700 -12.7480  -0.0000  -0.8908   0.0000
19800312  77.0524 146.8600 -15.4920  -0.0000  -1.4070   0.0000
19800313  70.5938 146.8900 -16.6900  -0.0000   0.0355   0.0000
19800314  73.2901 146.7200 -12.6610  -0.0000   2.2399   0.0000
19800315  77.1246 146.6100  -9.4692  -0.0000  -0.5656   0.0000
19800316  73.1747 146.3300 -13.4120  -0.0000  -1.5684   0.0000
19800317  65.9298 145.3700  -9.6876  -0.0000   0.3299   0.0000
19800318  80.6772 145.1300 -10.5540  -0.0000  -0.8525   0.0000
19800319  77.5212 146.6500 -14.7010  -0.0000  -0.6051   0.0000
19800320  67.6037 146.6700  -9.1451  -0.0000   0.5014   0.0000
19800321  81.7680 146.6200  -7.1998  -0.0000   0.1880   0.0000
19800322  77.1258 146.6600  -8.1852  -0.0000  -2.4431   0.0000
19800323  77.9946 146.5200  -8.4038  -0.0000   0.7366   0.0000
19800324  68.6507 147.8200  -7.7107  -0.0000  -1.2980   0.0000
19800325  79.3674 148.4900 -12.3000  -0.0000  -1.0659   0.0000
19800326  68.9156 146.8600 -15.0250  -0.0000   0.0895   0.0000
19800327  69.1294 150.3600 -14.6420  -0.0000   0.7516   0.0000
19800328  76.5650 150.2600  -9.5002  -0.0000   0.1458   0.0000
19800329  72.3666 149.9700  -9.9627  -0.0000  -1.6289   0.0000
19800330  58.6701 152.1600 -12.0660  -0.0000   1.4808   0.0000
19800331  50.1888 151.7600 -10.6690  -0.0000   0.8704   0.0000
19800401  47.3858 151.6900  -8.7874  -0.0000   1.5120   0.0000
19800402  78.6936 151.6100 -11.3760  -0.0000   0.1997   0.0000
19800403  67.6827 153.3200 -15.5680  -0.0000  -2.1033   0.0000
19800404  53.4084 154.1500 -11.4080  -0.0000   0.5216   0.0000
19800405  47.8865 154.1200  -8.3395  -0.0000   1.5120   0.0000
19800406  71.9472 155.0000  -9.2120  -0.0000   0.9951   0.0000
19800407  78.3144 154.9700 -12.2830  -0.0000   0.5363   0.0000
19800408  78.1255 155.4200 -13.5560  -0.0000   0.3440   0.0000
19800409  68.7033 155.3600 -14.3860  -0.0000   0.6719   0.0000
19800410  46.3232 154.9300  -7.0047  -0.0000   0.8704   0.0000
19800411  44.9128 154.8800  -5.5416  -0.0000   1.5120   0.0000
19800412  56.5611 155.0500  -8.6261  -0.0000   0.7376   0.0000
19800413  61.1204 155.0900  -7.4932  -0.0000   0.4384   0.0000
19800414  75.3407 154.4000 -10.7880  -0.0000   1.5120   0.0000
19800415  75.7572 152.3200 -10.8340  -0.0000   0.7858   0.0000
19800416  59.5675 149.9700  -6.6554  -0.0000   0.8704   0.0000
19800417  44.4429 149.8000  -2.5729  -0.0000   1.5120   0.0000
19800418  42.3629 149.7000  -1.5001  -0.0000   1.5120   0.0000
19800419  65.4963 148.7900  -0.8297  -0.0000   0.1741   0.0000
19800420  75.9315 149.9600  -2.4885  -0.0000  -0.1148   0.0000
19800421  73.3847 149.2200  -2.8181  -0.0000  -0.0707   0.0000
19800422  86.9285 149.8300  -5.6961  -0.0000  -1.5177   0.0000
19800423  76.4065 150.8200  -7.3753  -0.0000   1.5645   0.0000
19800424  85.5261 151.2600  -9.0087  -0.0000   0.4831   0.0000
19800425  79.6530 151.9100  -7.7362  -0.0000   0.7376   0.0000
19800426  57.0106 152.9100  -2.2633  -0.0000   0.6530   0.0000
19800427  77.5427 153.7800  -2.3699  -0.0000   0.7061   0.0000
19800428  78.0838 154.5200  -2.6186  -0.0000  -0.9327   0.0000
19800429  77.4771 154.2700  -2.6542  -0.0000  -0.4622   0.0000
19800430  86.9614 153.9000  -5.0975  -0.0000   1.7436   0.0000
19800501  90.5438 154.6000  -5.5901  -0.0000   0.8927   0.0000
19800502  83.9085 154.4100  -3.8200  -0.0000   0.8704   0.0000
19800503  70.4428 155.8900  -0.8288  -0.0000   0.8927   0.0000
19800504  76.0191 158.4500  -2.3223  -0.0000   0.4984   0.0000
19800505  61.9455 161.6600  -2.6001  -0.0000   0.8704   0.0000
19800506  54.8366 165.6600  -1.2479  -0.0000   0.9793   0.0000
19800507  61.6782 167.9600  -1.8979  -0.0000   1.5120   0.0000
19800508  56.1885 171.1100   0.3338  -0.0000   1.5120   0.0000
19800509  83.6736 173.6000  -0.2612  -0.0000   0.5995   0.0000
19800510  87.7283 179.4800  -0.7896  -0.0000  -1.7998   0.0000
19800511  77.7639 186.0900  -0.3323  -0.0000   1.8992   0.0000
19800512  83.7953 189.8400  -0.6449  -0.0000   0.6913   0.0000
19800513  86.6242 192.0000  -1.0866  -0.0000  -0.2070   0.0000
19800514  87.9106 193.8600  -0.8235  -0.0000  -1.6792   0.0000
19800515  90.0910 194.6600  -1.9551  -0.0000  -2.3166   0.0000
19800516  86.4078 194.8500  -4.9953  -0.0000   1.8016   0.0000
19800517  67.7413 196.0900  -1.1993  -0.0000   0.8927   0.0000
19800518  76.8330 197.5000   0.2287  -0.0000  -1.7027   0.0000
19800519  89.7076 198.7200  -0.8497  -0.0000   2.3586   0.0000
19800520  84.9377 201.0500  -1.0771  -0.0000   0.6830   0.0000
19800521  85.9666 204.4500  -2.1422  -0.0000   0.5955   0.0000
19800522  88.4271 206.0300  -2.9302  -0.0000   0.6913   0.0000
19800523  87.3332 206.3900  -4.0884  -0.0000   0.7717   0.0000
19800524  62.9327 206.3500   0.3459  -0.0000   2.5097   0.0000
19800525  72.0719 206.9400   0.7685  -0.0000   0.4384   0.0000
19800526  82.9695 208.4300  -2.2479  -0.0000   0.4422   0.0000
19800527  83.1399 209.5200  -2.4059  -0.0000   0.9457   0.0000
19800528  79.7510 210.3500  -3.2928  -0.0000   0.4366   0.0000
19800529  60.9844 211.2000  -1.1318  -0.0000   0.3807   0.0000
19800530  58.8051 212.9200   0.6331  -0.0000   1.1195   0.0000
19800531  51.5532 214.3500   2.2139  -0.0000   1.5120   0.0000
19800601  62.0771 216.2800   3.9151  -0.0000   0.6229   0.0000
19800602  85.6035 214.9600   0.4628  -0.0000   0.1426   0.0000
19800603  82.3704 215.5100  -2.0796  -0.0000  -2.4196   0.0000
19800604  70.5027 214.8900  -2.5632  -0.0001   0.6807   0.0000
19800605  49.6544 214.2500   0.6725  -0.0001   0.5595   0.0000
19800606  55.5118 213.8700   0.8493  -0.0001   0.7033   0.0000
19800607  58.2756 210.7100   0.9782  -0.0001   0.2595   0.0000
19800608  58.4945 205.6700   1.8883  -0.0001   0.2039   0.0000
19800609  47.0825 199.5800   4.5500  -0.0001   0.0139   0.0000
19800610  48.0299 193.5200   6.1173  -0.0001   0.1967   0.0000
19800611  44.8898 188.1100   7.9157  -0.0001   0.1889   0.0000
19800612  64.2780 183.4000   6.9507  -0.0001   0.3667   0.0000
19800613  84.1932 183.9600   3.5879  -0.0000  -0.6528   0.0000
19800614  81.0711 185.4300   3.4571  -0.0001  -1.8192   0.0000
19800615  79.8715 183.6000   1.8501  -0.0001  -0.4122   0.0000
19800616  59.7916 181.4800   2.3434  -0.0001   0.8397   0.0000
19800617  49.6000 178.9300   5.2773  -0.0001   1.0597   0.0000
19800618  51.0946 175.5900   7.2244  -0.0001   2.1575   0.0000
19800619  47.4433 173.0700   8.2674  -0.0001   2.3480   0.0000
19800620  51.8592 170.1400   7.1723  -0.0001   0.0459   0.0000
19800621  40.7597 165.5400   9.8652  -0.0001   0.1975   0.0000
19800622  47.3183 160.8100   9.1252  -0.0001   1.5120   0.0000
19800623  40.4975 159.5600  10.2430  -0.0001   0.3014   0.0000
19800624  56.0883 158.6000  10.7970  -0.0001   1.5120   0.0000
19800625  83.6734 157.2300   9.1730  -0.0001   1.3828   0.0000
19800626  85.6288 159.4800   8.0299  -0.0001  -1.3493   0.0000
19800627  90.8092 163.4900   6.9176  -0.0001  -2.1914   0.0000
19800628  70.2757 160.9600   5.8537  -0.0001  -0.7711   0.0000
19800629  82.3872 158.5900   6.8362  -0.0001   2.3982   0.0000
19800630  77.2928 156.0700   7.3521  -0.0001   0.0197   0.0000
19800701  82.2179 155.6600   6.8249  -0.0001  -0.0157   0.0000
19800702  70.1721 153.0700   6.9301  -0.0001  -0.5324   0.0000
19800703  64.7707 148.9600   6.8462  -0.0001   0.2161   0.0000
19800704  54.7791 145.4200  10.3600  -0.0001   1.0124   0.0000
19800705  83.2071 145.6200   8.0289  -0.0001   0.2274   0.0000
19800706  73.0945 145.6300   6.3478  -0.0001  -1.7220   0.0000
19800707  50.3702 141.2200   7.9950  -0.0001   0.5943   0.0000
19800708  39.9233 137.9000  10.2190  -0.0001   0.9793   0.0000
19800709  50.8626 135.9000   8.4457  -0.0001   0.2450   0.0000
19800710  46.5512 133.5200  10.4450  -0.0001   0.2872   0.0000
19800711  47.2810 132.0000  11.0090  -0.0000   0.7263   0.0000
19800712  51.8320 129.2100  12.3240  -0.0000   0.8028   0.0000
19800713  67.1363 129.0900  10.4060  -0.0001   0.0117   0.0000
19800714  81.5737 131.2600   9.7728  -0.0001  -0.6184   0.0000
19800715  82.3042 134.9600   9.8690  -0.0001  -2.0921   0.0000
19800716  80.3651 135.0100   8.7985  -0.0001  -1.5592   0.0000
19800717  76.6028 133.1600   8.4803  -0.0001  -0.4545   0.0000
19800718  79.7338 130.3000  10.1140  -0.0001   0.5677   0.0000
19800719  76.9516 131.3200   8.6267  -0.0001  -1.7347   0.0000
19800720  59.9589 130.0700   9.3776  -0.0001  -1.2808   0.0000
