Time rh SM Tmean e SPI FLASH 
19800101  62.3875 121.2100  21.5580  -0.0001   0.9733   0.0000
19800102  65.0653 121.6100  21.6950  -0.0001   0.9733   0.0000
19800103  71.4786 122.2300  20.6190  -0.0001   0.3750   0.0000
19800104  81.2804 123.5900  19.9530  -0.0001   1.6099   0.0000
19800105  76.5665 124.7200  19.7340  -0.0001  -0.0015   0.0000
19800106  79.4108 125.4500  18.7490  -0.0001   0.9993   0.0000
19800107  66.3302 124.9900  18.6580  -0.0001   1.2906   0.0000
19800108  49.5222 124.3400  18.2650  -0.0001   0.3846   0.0000
19800109  42.0545 123.4900  18.4290  -0.0001   0.9733   0.0000
19800110  43.3723 123.3000  18.4880  -0.0001   0.9733   0.0000
19800111  48.5822 122.3700  19.3840  -0.0001   0.9733   0.0000
19800112  60.5197 121.0600  19.9090  -0.0001   0.9733   0.0000
19800113  60.3486 120.9900  21.1530  -0.0001   0.9733   0.0000
19800114  58.6611 120.1300  21.7320  -0.0001   0.9733   0.0000
19800115  64.1614 119.9300  21.9310  -0.0001   0.2209   0.0000
19800116  66.2865 120.0300  21.2430  -0.0001   0.3631   0.0000
19800117  61.2021 119.4600  21.7260  -0.0001   0.4349   0.0000
19800118  56.7384 118.1700  22.5480  -0.0001   0.3112   0.0000
19800119  53.3021 117.5000  22.8460  -0.0001   0.9733   0.0000
19800120  49.6898 115.7800  22.5000  -0.0001   0.9733   0.0000
19800121  51.8450 113.9100  22.3490  -0.0001   0.9733   0.0000
19800122  51.9713 113.6200  22.8290  -0.0001   0.9733   0.0000
19800123  51.0719 113.6000  22.2300  -0.0001   0.9733   0.0000
19800124  41.7585 113.8800  20.5230  -0.0001   0.9733   0.0000
19800125  47.2044 112.3800  20.9090  -0.0001   0.9733   0.0000
19800126  49.5977 111.2500  21.0470  -0.0001   0.9733   0.0000
19800127  43.1347 110.1600  22.7990  -0.0001   0.4349   0.0000
19800128  44.3559 109.0200  23.8820  -0.0000   0.9733   0.0000
19800129  44.8429 108.7900  22.0200  -0.0001   0.9733   0.0000
19800130  39.2607 109.8900  19.1750  -0.0001   0.9733   0.0000
19800131  39.8906 109.9200  19.5620  -0.0001   0.9733   0.0000
19800201  43.0150 109.4500  20.3010  -0.0001   0.9733   0.0000
19800202  59.0604 109.8000  22.5490  -0.0000   0.9733   0.0000
