Time rh SM Tmean e SPI FLASH 
19800101  82.7882 130.7300  14.1710  -0.0000   1.4802   0.0000
19800102  85.3621 132.3400  15.2370  -0.0000  -0.4991   0.0000
19800103  81.4076 134.7400  13.2040  -0.0000   0.0979   0.0000
19800104  79.9840 135.9700  12.0030  -0.0000   2.0342   0.0000
19800105  73.4113 136.0600  12.2540  -0.0001   0.6629   0.0000
19800106  69.6234 134.7200  12.9190  -0.0001   0.6629   0.0000
19800107  67.9016 133.2000  12.0660  -0.0001   0.6629   0.0000
19800108  65.2669 132.1800  11.8350  -0.0001   0.6629   0.0000
19800109  60.2612 130.1000  12.5160  -0.0001   0.6629   0.0000
19800110  60.6420 128.6000  13.1970  -0.0001   0.6629   0.0000
19800111  60.9453 125.3600  13.4660  -0.0001   0.6629   0.0000
19800112  54.1177 121.3500  13.9470  -0.0000   0.6629   0.0000
19800113  53.4453 117.1800  14.8070  -0.0001   0.8765   0.0000
19800114  62.9588 112.1300  14.3040  -0.0000   0.6629   0.0000
19800115  63.1473 111.5600  13.2880  -0.0000   0.6629   0.0000
19800116  60.7143 113.0600  14.2400  -0.0000   0.6629   0.0000
19800117  59.5667 112.9500  15.5830  -0.0000   0.6629   0.0000
19800118  60.8770 111.4700  16.5910  -0.0000   0.6629   0.0000
19800119  54.7253 109.0500  18.1880  -0.0000   0.6629   0.0000
19800120  50.2342 108.2500  17.9430  -0.0000   0.6629   0.0000
19800121  52.8296 108.6500  18.0510  -0.0000   0.6629   0.0000
19800122  54.0908 109.4500  16.1190  -0.0000   0.6629   0.0000
19800123  56.0933 109.8300  15.9560  -0.0000   0.6629   0.0000
19800124  59.4225 110.7500  15.1190  -0.0000   0.6629   0.0000
19800125  62.9679 111.4500  16.2660  -0.0000   0.6629   0.0000
19800126  59.4280 110.7000  17.6270  -0.0000   0.6629   0.0000
19800127  59.6017 109.7300  18.9800  -0.0000   0.6629   0.0000
19800128  54.8514 110.9900  17.6560  -0.0000   1.8645   0.0000
19800129  47.2119 112.8500  16.1790  -0.0000   0.6629   0.0000
19800130  44.1163 113.0200  15.0640  -0.0000   0.6629   0.0000
19800131  52.6678 112.1900  14.5070  -0.0001   0.6629   0.0000
19800201  49.2780 109.1600  16.1520  -0.0000   0.6629   0.0000
19800202  77.8685 112.1900  13.8070  -0.0001   0.6629   0.0000
19800203  73.6228 112.5700  16.8570  -0.0001  -1.2631   0.0000
19800204  87.5471 118.3800  16.3960  -0.0001   1.0940   0.0000
19800205  59.7355 119.9500  15.7670  -0.0001  -1.4539   0.0000
19800206  53.7097 119.5100  12.6150  -0.0001   1.4462   0.0000
19800207  57.4813 118.5400  13.8600  -0.0001   0.6629   0.0000
19800208  53.9460 115.2100  15.2130  -0.0001   0.6629   0.0000
19800209  52.9336 112.6300  16.4900  -0.0001   0.6629   0.0000
19800210  46.5373 112.5800  16.5240  -0.0001   0.6629   0.0000
19800211  47.2324 112.7900  15.6100  -0.0001   0.6629   0.0000
19800212  54.6443 111.1300  15.5500  -0.0001   0.6629   0.0000
19800213  56.7845 107.9500  17.2890  -0.0001   0.6629   0.0000
19800214  55.8367 108.3400  19.9930  -0.0001   0.6629   0.0000
19800215  67.2092 108.9800  19.4770  -0.0001   1.3750   0.0000
19800216  64.8617 108.8900  19.5780  -0.0001   0.1464   0.0000
19800217  57.8631 107.6800  20.1700  -0.0001   0.6629   0.0000
19800218  53.7036 106.5000  19.7430  -0.0001   0.6629   0.0000
19800219  44.1379 102.4700  20.3270  -0.0001   0.6629   0.0000
19800220  48.9897  99.6850  21.7030  -0.0000   0.6629   0.0000
19800221  44.6824  98.4860  23.6860  -0.0000   0.6629   0.0000
19800222  46.0039 100.1900  23.8640  -0.0000   0.6629   0.0000
19800223  50.4410 103.1100  23.1060  -0.0001   0.6629   0.0000
19800224  35.4734 104.0800  22.5310  -0.0001   0.6629   0.0000
19800225  26.6405 104.8500  22.2070  -0.0001   0.6629   0.0000
19800226  41.3808 104.8100  21.1270  -0.0001   0.6629   0.0000
19800227  49.0503 103.2300  22.6370  -0.0001   0.6629   0.0000
19800228  49.6938 101.0600  24.0250  -0.0001   0.6629   0.0000
19800229  67.7000 102.1200  19.8600  -0.0001  -0.5081   0.0000
19800301  50.8739 101.9100  20.5820  -0.0001  -0.9542   0.0000
19800302  33.4428 101.6200  21.2470  -0.0001   1.3024   0.0000
19800303  45.1554 100.7800  20.8620  -0.0001   0.6629   0.0000
19800304  49.0041 101.7500  22.4010  -0.0001   0.6629   0.0000
19800305  67.7595 102.7600  19.4760  -0.0001   0.6629   0.0000
19800306  76.6797 107.4300  19.6560  -0.0001  -0.8407   0.0000
19800307  45.3422 106.1900  18.1790  -0.0001  -0.4250   0.0000
19800308  46.3884 105.2500  19.2350  -0.0001   0.6629   0.0000
19800309  45.6741 104.1700  18.5840  -0.0001   0.6629   0.0000
19800310  41.5645 100.1500  19.7050  -0.0001   0.6629   0.0000
19800311  40.8971  97.8050  21.4500  -0.0001   0.6629   0.0000
19800312  33.9626  96.4710  22.0410  -0.0000   0.6629   0.0000
19800313  35.9542  95.9790  21.4580  -0.0000   0.6629   0.0000
19800314  39.5892  97.8160  22.7790  -0.0000   0.6629   0.0000
19800315  39.1423  97.9840  24.2350  -0.0000   0.6629   0.0000
19800316  37.9446  96.6850  24.6550  -0.0000   0.6629   0.0000
19800317  37.1537  94.7610  25.1800  -0.0000   1.1853   0.0000
19800318  34.2132  96.5240  26.3110  -0.0000   0.6629   0.0000
19800319  31.1727  98.1370  26.3120  -0.0001   0.1333   0.0000
19800320  33.5883  98.2830  25.6910  -0.0000   0.6629   0.0000
19800321  34.9889  98.0110  27.4160  -0.0001   0.6629   0.0000
19800322  34.7641  97.5850  28.0260  -0.0000   2.3868   0.0000
19800323  30.2897  96.8850  27.6060  -0.0001   0.6629   0.0000
19800324  35.3778  97.4960  26.3620  -0.0000   0.6629   0.0000
19800325  31.4861  98.4350  27.7960  -0.0001   0.5884   0.0000
19800326  42.5985  97.6390  25.5990  -0.0000   0.6629   0.0000
19800327  29.5164  95.0940  25.6540  -0.0000   0.4446   0.0000
19800328  24.3706  93.7050  25.9710  -0.0000   0.6629   0.0000
19800329  56.7184  97.2470  22.5720  -0.0001   0.6629   0.0000
19800330  45.2791 100.2400  24.2180  -0.0001  -1.7758   0.0000
19800331  43.5917  99.6350  24.9090  -0.0001   0.6629   0.0000
19800401  40.4208  98.1370  26.2580  -0.0001   0.6629   0.0000
19800402  38.9366  95.6350  27.2710  -0.0001   0.6629   0.0000
19800403  43.5638  96.0700  25.3470  -0.0000   0.6629   0.0000
